last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	participation	weekly %	Midterm	new midterm	final	new final	total	delta	grade
3571	10	15	20	20	19	20	20	20	20	99.39%	87	91	76	92	94.76	0.07	3.9
0492	10	15	18	19	19	17	17	18	20	92.73%	92	96	80	96	94.69	0.30	3.9
0012	10	15	20	19	19	19	19	19	20	96.97%	86	90	78	94	94.39	0.03	3.9
1756	10	15	19	20	20	20	20	20	20	99.39%	83	87	77	93	94.36	0.05	3.9
0234	9	10	20	19	20	20	20	20	20	95.76%	92	96	76	92	94.30	0.02	3.9
2060	7	15	20	19	19	15	18	15	20	89.70%	90	94	83	99	94.28	0.05	3.9
1675	9	15	20	20	20	19	20	18	20	97.58%	92	96	74	90	94.23	0.70	3.9
4400	9	14	20	18	20	18	19	16	20	93.33%	89	93	78	94	93.53	0.02	3.8
0798	9	15	20	20	20	20	20	19	20	98.79%	88	92	73	89	93.52	0.05	3.8
6621	10	15	18	19	20	17	19	19	20	95.15%	89	93	76	92	93.46	0.00	3.8
2651	10	15	17	19	20	18	18	20	20	95.15%	81	85	80	96	93.46	0.10	3.8
0803	10	15	18	18	18	16	17	18	20	90.91%	83	87	83	99	93.36	0.06	3.8
3999	9	15	18	20	18	19	19	20	20	95.76%	83	87	78	94	93.30	0.12	3.8
2930	8	15	20	20	19	20	19	19	20	96.97%	90	94	73	89	93.19	0.10	3.8
6736	8	14	20	17	20	18	19	17	20	92.73%	90	94	77	93	93.09	0.19	3.8
2229	10	15	20	20	19	18	19	17	20	95.76%	79	83	79	95	92.90	0.03	3.8
1726	10	14	20	20	19	19	20	20	20	98.18%	78	82	77	93	92.87	0.10	3.8
2368	9	15	20	20	19	18	16	18	20	93.94%	86	90	77	93	92.78	0.06	3.8
0919	9	15	20	20	20	19	20	20	20	98.79%	88	92	71	87	92.72	0.13	3.8
3631	9	12	20	20	20	20	20	19	20	96.97%	93	97	70	86	92.59	0.20	3.8
1044	9	14	20	20	19	18	20	20	20	96.97%	86	90	73	89	92.39	0.21	3.8
0113	9	14	20	18	18	20	19	17	20	93.94%	95	99	71	87	92.18	0.00	3.7
2654	10	15	20	17	19	17	18	19	20	93.94%	89	93	74	90	92.18	0.15	3.7
1673	8	15	20	19	20	20	19	20	20	97.58%	87	91	71	87	92.03	0.08	3.7
1354	7	15	20	20	19	20	18	20	20	96.36%	85	89	73	89	91.95	0.07	3.7
1497	9	15	20	20	20	19	20	19	20	98.18%	87	91	70	86	91.87	0.05	3.7
5578	7	15	19	19	20	19	20	17	20	94.55%	86	90	74	90	91.82	0.03	3.7
0581	9	15	20	20	19	17	20	20	20	96.97%	81	85	74	90	91.79	0.19	3.7
4059	10	15	20	20	20	20	20	20	20	100.00%	84	88	69	85	91.60	0.27	3.7
0910	9	15	17	19	19	20	20	15	20	93.33%	82	86	76	92	91.33	0.24	3.7
1792	10	15	20	19	17	18	17	17	20	92.73%	82	86	76	92	91.09	0.20	3.7
1440	10	15	19	20	17	18	16	18	20	92.73%	89	93	72	88	90.89	0.02	3.7
9805	9	15	20	19	20	19	20	20	20	98.18%	82	86	70	86	90.87	0.08	3.7
5116	9	15	20	19	19	19	19	20	20	96.97%	88	92	68	84	90.79	0.14	3.7
1294	10	15	18	20	16	17	18	18	20	92.12%	89	93	72	88	90.65	0.12	3.7
9270	8	14	20	20	16	19	20	17	20	93.33%	80	84	75	91	90.53	0.06	3.6
5145	10	15	20	19	20	19	20	19	20	98.18%	86	90	67	83	90.47	0.08	3.6
4035	9	15	20	20	19	20	19	18	20	96.97%	80	84	71	87	90.39	0.04	3.6
4096	10	15	20	20	20	20	19	15	20	96.36%	81	85	71	87	90.35	0.08	3.6
1883	9	15	20	19	18	19	20	17	20	95.15%	79	83	73	89	90.26	0.01	3.6
2764	9	14	20	20	19	13	18	19	20	92.12%	89	93	71	87	90.25	0.01	3.6
0957	10	15	17	16	18	18	16	19	18	89.09%	85	89	76	92	90.24	0.03	3.6
2864	9	15	20	17	17	18	16	19	20	91.52%	88	92	72	88	90.21	0.10	3.6
1316	10	15	18	19	19	19	18	20	20	95.76%	89	93	67	83	90.10	0.13	3.6
2464	9	14	20	19	19	14	20	20	20	93.94%	74	78	76	92	89.98	0.17	3.6
9357	8	13	19	18	20	18	18	17	20	91.52%	86	90	72	88	89.81	0.07	3.6
1467	9	15	20	19	19	18	16	18	20	93.33%	76	80	75	91	89.73	0.07	3.6
1448	9	15	17	20	18	20	19	19	20	95.15%	76	80	73	89	89.66	0.01	3.6
6617	9	14	20	18	19	18	18	16	20	92.12%	92	96	68	84	89.65	0.03	3.6
0137	9	15	18	19	18	20	19	18	20	94.55%	89	93	67	83	89.62	0.03	3.6
1666	10	15	20	19	20	20	18	18	20	96.97%	88	92	65	81	89.59	0.00	3.6
3179	9	15	20	19	19	20	18	20	20	96.97%	86	90	66	82	89.59	0.07	3.6
1409	7	15	20	20	20	18	14	15	20	90.30%	79	83	76	92	89.52	0.09	3.5
2426	10	14	20	20	19	18	20	20	20	97.58%	64	68	76	92	89.43	0.04	3.5
0743	9	15	20	19	19	20	19	19	20	96.97%	89	93	64	80	89.39	0.01	3.5
1424	9	15	16	18	20	18	20	19	20	93.94%	83	87	70	86	89.38	0.04	3.5
0504	10	15	20	20	15	18	19	17	20	93.33%	86	90	69	85	89.33	0.05	3.5
3786	9	15	20	14	17	17	18	18	20	89.70%	87	91	72	88	89.28	0.02	3.5
5395	8	15	19	19	20	18	18	20	20	95.15%	82	86	69	85	89.26	0.27	3.5
0642	10	15	20	20	19	20	19	17	20	96.97%	93	97	61	77	88.99	0.18	3.5
7149	10	14	17	20	18	19	16	17	20	91.52%	79	83	73	89	88.81	0.15	3.5
2991	9	15	18	20	20	20	17	18	20	95.15%	87	91	65	81	88.66	0.60	3.5
3821	9	14	20	19	17	19	19	20	20	95.15%	86	90	64	80	88.06	0.04	3.5
2314	10	13	20	18	20	18	18	19	20	94.55%	79	83	68	84	88.02	0.10	3.5
8382	10	15	20	19	20	20	20	19	20	98.79%	78	82	64	80	87.92	0.02	3.5
3431	10	15	18	18	19	18	17	18	20	92.73%	70	74	74	90	87.89	0.23	3.5
0831	10	13	20	18	18	20	18	20	20	95.15%	84	88	64	80	87.66	0.00	3.4
2382	9	15	20	20	19	19	15	20	20	95.15%	72	76	70	86	87.66	0.08	3.4
3301	10	15	20	19	17	18	18	18	20	93.94%	88	92	63	79	87.58	0.08	3.4
1126	9	15	20	18	20	17	17	17	20	92.73%	82	86	67	83	87.49	0.02	3.4
3337	9	15	20	20	20	20	19	19	20	98.18%	85	89	60	76	87.47	0.08	3.4
2881	10	14	18	18	20	20	20	20	20	96.97%	75	79	66	82	87.39	0.05	3.4
5938	7	15	17	18	15	18	12	18	20	84.85%	79	83	76	92	87.34	0.07	3.4
3538	8	15	19	19	14	15	17	16	20	86.67%	81	85	73	89	87.27	0.01	3.4
5330	9	15	20	18	20	18	17	20	20	95.15%	72	76	69	85	87.26	0.14	3.4
9528	8	13	17	17	17	20	19	18	20	90.30%	87	91	66	82	87.12	0.00	3.4
0520	10	14	17	20	18	17	18	15	20	90.30%	83	87	68	84	87.12	0.02	3.4
1922	9	15	18	20	18	18	20	20	20	95.76%	78	82	65	81	87.10	0.03	3.4
3722	10	13	18	18	16	17	16	18	3	78.18%	87	91	78	94	87.07	0.01	3.4
6141	8	15	20	20	20	18	20	16	20	95.15%	79	83	65	81	87.06	0.34	3.4
4691	10	15	20	15	17	20	17	20	15	90.30%	75	79	71	87	86.72	0.07	3.3
1879	9	15	18	20	0	20	20	16	20	83.64%	76	80	77	93	86.65	0.11	3.3
0150	9	15	20	19	18	20	19	19	20	96.36%	76	80	64	80	86.55	0.00	3.3
0045	7	15	18	20	20	19	20	20	20	96.36%	82	86	61	77	86.55	0.08	3.3
4699	9	15	19	19	18	20	18	19	20	95.15%	84	88	61	77	86.46	0.03	3.3
4663	9	15	20	20	20	19	19	19	20	97.58%	73	77	64	80	86.43	0.08	3.3
8890	9	15	19	20	19	20	17	20	20	96.36%	79	83	62	78	86.35	0.07	3.3
0678	9	14	20	18	18	14	15	20	20	89.70%	82	86	67	83	86.28	0.22	3.3
8085	9	15	17	19	18	20	20	19	20	95.15%	78	82	63	79	86.06	0.05	3.3
1035	10	14	20	16	17	18	18	18	20	91.52%	79	83	66	82	86.01	0.12	3.3
2205	10	14	19	20	17	20	16	17	20	92.73%	62	66	73	89	85.89	0.06	3.3
3902	10	15	20	20	19	20	18	19	20	97.58%	74	78	62	78	85.83	0.00	3.2
2889	10	15	20	19	19	19	20	19	20	97.58%	70	74	64	80	85.83	0.07	3.2
0053	9	15	16	16	19	19	17	19	20	90.91%	75	79	68	84	85.76	0.18	3.2
4336	10	15	20	19	18	20	19	19	20	96.97%	78	82	60	76	85.59	0.04	3.2
3035	10	15	20	18	20	17	20	19	20	96.36%	77	81	61	77	85.55	0.04	3.2
4817	9	15	20	18	18	19	19	20	20	95.76%	72	76	64	80	85.50	0.02	3.2
4920	9	14	18	19	16	19	18	15	20	89.70%	82	86	65	81	85.48	0.06	3.2
8269	9	13	20	20	18	17	19	20	20	94.55%	80	84	61	77	85.42	0.01	3.2
9167	10	15	20	19	19	17	16	15	20	91.52%	76	80	66	82	85.41	0.19	3.2
8369	10	15	20	19	19	18	18	17	20	94.55%	79	83	61	77	85.22	0.04	3.2
5429	9	15	20	18	19	17	19	18	20	93.94%	84	88	59	75	85.18	0.01	3.2
1470	10	13	18	18	18	19	16	18	20	90.91%	82	86	63	79	85.16	0.02	3.2
0029	10	15	20	19	19	18	18	20	20	96.36%	79	83	59	75	85.15	0.07	3.2
6506	8	13	17	18	18	18	18	18	20	89.70%	86	90	62	78	85.08	0.02	3.2
0392	10	15	20	18	19	17	19	19	20	95.15%	79	83	60	76	85.06	0.15	3.2
1488	10	14	20	20	19	20	20	20	20	98.79%	85	89	53	69	84.92	0.13	3.2
6471	9	15	20	20	19	19	19	19	20	96.97%	76	80	59	75	84.79	0.07	3.1
0916	7	15	20	18	17	19	15	18	20	90.30%	81	85	63	79	84.72	0.01	3.1
2087	9	15	20	20	20	20	19	20	20	98.79%	62	66	64	80	84.72	0.00	3.1
4690	8	12	0	18	17	19	18	18	20	78.79%	86	90	72	88	84.72	0.02	3.1
2780	9	15	20	20	17	14	20	18	20	92.73%	80	84	61	77	84.69	0.00	3.1
1938	6	14	20	20	17	19	18	19	20	92.73%	86	90	58	74	84.69	0.03	3.1
8267	10	15	20	19	17	19	18	19	20	95.15%	79	83	59	75	84.66	0.01	3.1
8143	7	15	19	18	20	20	17	16	20	92.12%	81	85	61	77	84.65	0.03	3.1
3046	8	15	18	19	18	19	20	19	20	94.55%	76	80	61	77	84.62	0.10	3.1
0027	9	15	20	20	20	20	20	19	20	98.79%	75	79	57	73	84.52	0.01	3.1
9410	10	14	19	20	20	20	17	18	20	95.76%	77	81	59	75	84.50	0.00	3.1
2766	9	15	18	20	19	18	19	20	20	95.76%	73	77	61	77	84.50	0.32	3.1
9458	9	14	19	14	14	19	17	15	20	85.45%	88	92	63	79	84.18	0.01	3.1
8425	7	13	19	18	17	13	11	18	20	82.42%	86	90	67	83	84.17	0.18	3.1
2429	9	15	20	19	19	20	19	19	20	96.97%	70	74	60	76	83.99	0.01	3.1
5586	7	14	18	19	19	19	19	20	20	93.94%	72	76	62	78	83.98	0.00	3.1
1122	10	15	18	16	19	18	20	19	20	93.94%	74	78	61	77	83.98	0.13	3.1
3095	9	15	20	18	20	19	17	14	20	92.12%	67	71	66	82	83.85	0.13	3.1
7635	9	15	18	19	12	19	19	18	20	90.30%	60	64	71	87	83.72	0.03	3
0779	6	14	20	18	19	19	19	18	20	92.73%	73	77	62	78	83.69	0.14	3
5471	10	15	17	19	17	18	15	14	20	87.88%	84	88	61	77	83.55	0.29	3
3123	9	15	20	18	19	20	18	18	20	95.15%	68	72	61	77	83.26	0.02	3
8606	9	15	20	19	18	16	15	15	20	89.09%	82	86	60	76	83.24	0.09	3
0398	9	15	20	20	20	20	16	19	20	96.36%	81	85	53	69	83.15	0.15	3
0960	10	14	20	20	17	15	14	16	20	88.48%	76	80	63	79	82.99	0.01	3
0308	10	15	20	20	18	19	19	19	20	96.97%	67	71	59	75	82.99	0.00	3
6207	9	15	20	19	18	20	20	19	20	96.97%	59	63	63	79	82.99	0.14	3
0067	7	15	16	18	19	19	19	19	20	92.12%	74	78	60	76	82.85	0.07	3
1204	7	15	19	17	20	19	19	19	20	93.94%	76	80	57	73	82.78	0.07	3
6609	10	15	20	19	18	17	19	20	20	95.76%	80	84	53	69	82.70	0.01	3
1036	10	15	18	20	16	18	18	18	20	92.73%	74	78	59	75	82.69	0.30	3
4033	9	15	20	20	18	19	20	19	20	96.97%	88	92	47	63	82.39	0.00	2.9
0293	9	15	20	20	19	20	19	18	20	96.97%	62	66	60	76	82.39	0.01	2.9
7247	10	15	20	19	19	18	14	20	20	93.94%	78	82	55	71	82.38	0.04	2.9
0855	7	15	18	20	19	19	19	17	20	93.33%	67	71	61	77	82.33	0.27	2.9
0437	9	15	20	20	19	19	17	18	20	95.15%	78	82	53	69	82.06	0.04	2.9
4168	9	15	20	18	18	18	20	18	20	94.55%	73	77	56	72	82.02	0.01	2.9
3219	10	14	18	19	18	19	19	0	20	83.03%	74	78	67	83	82.01	0.04	2.9
0641	10	15	18	20	19	19	18	16	20	93.94%	76	80	55	71	81.98	0.13	2.9
2459	9	14	19	20	17	17	17	19	20	92.12%	61	65	64	80	81.85	0.01	2.9
0260	9	15	19	0	19	18	17	16	20	80.61%	86	90	63	79	81.84	0.05	2.9
5991	7	15	20	19	20	20	20	19	20	96.97%	71	75	54	70	81.79	0.01	2.9
4870	10	14	20	18	17	19	20	17	20	93.94%	71	75	57	73	81.78	0.23	2.9
0807	10	15	20	19	18	20	19	18	20	96.36%	73	77	53	69	81.55	0.04	2.8
1698	10	15	20	18	18	18	20	19	20	95.76%	64	68	58	74	81.50	0.73	2.8
7200	9	15	20	20	20	19	19	20	20	98.18%	69	73	53	69	81.47	0.01	2.8
1799	7	15	20	20	20	20	18	17	20	95.15%	65	69	58	74	81.46	0.00	2.8
8241	10	15	20	20	18	19	17	18	20	95.15%	65	69	58	74	81.46	0.18	2.8
7377	9	15	20	19	19	19	 	18	15	81.21%	88	92	60	76	81.28	0.05	2.8
1817	5	14	18	18	18	6	15	14	20	77.58%	85	89	65	81	81.23	0.01	2.8
4067	10	14	20	17	20	18	20	17	20	94.55%	83	87	49	65	81.22	0.07	2.8
4438	9	14	17	18	12	19	17	19	20	87.88%	74	78	60	76	81.15	0.10	2.8
2154	10	14	18	16	16	19	20	19	20	92.12%	77	81	54	70	81.05	0.01	2.8
0607	8	15	16	16	19	16	19	18	20	89.09%	59	63	66	82	81.04	0.10	2.8
1256	7	15	17	20	20	20	17	18	20	93.33%	54	58	64	80	80.93	0.07	2.8
2498	10	14	20	9	20	16	16	18	20	86.67%	69	73	63	79	80.87	0.19	2.8
2809	7	15	18	19	17	19	16	17	20	89.70%	70	74	59	75	80.68	0.02	2.7
5890	9	15	20	13	19	7	17	18	20	83.64%	74	78	63	79	80.65	0.01	2.7
9602	6	15	20	18	20	19	18	16	20	92.12%	75	79	54	70	80.65	0.00	2.7
0637	8	15	18	17	19	20	16	19	20	92.12%	79	83	52	68	80.65	0.48	2.7
2510	7	14	20	18	19	19	18	15	20	90.91%	79	83	52	68	80.16	0.08	2.7
4382	8	14	18	12	16	16	14	16	20	81.21%	76	80	63	79	80.08	0.07	2.7
0638	6	15	20	19	20	17	20	19	20	94.55%	69	73	53	69	80.02	0.05	2.7
6054	10	15	18	18	18	17	16	18	20	90.91%	74	78	54	70	79.96	0.02	2.7
7235	9	14	20	20	20	19	19	18	20	96.36%	65	69	53	69	79.95	0.01	2.7
0093	8	14	20	19	17	19	19	18	20	93.33%	75	79	51	67	79.93	0.03	2.7
4804	10	15	18	18	16	14	0	14	20	75.76%	84	88	64	80	79.90	0.14	2.7
1861	9	14	19	19	17	19	0	0	20	70.91%	77	81	72	88	79.76	0.02	2.7
2520	9	15	20	19	20	19	18	19	20	96.36%	70	74	50	66	79.75	0.01	2.7
1583	10	14	20	19	18	20	0	19	20	84.85%	73	77	60	76	79.74	0.06	2.7
3529	7	15	19	20	16	20	17	14	20	89.70%	85	89	49	65	79.68	0.10	2.6
2384	10	15	16	18	11	17	16	18	20	85.45%	81	85	55	71	79.58	0.04	2.6
5606	9	15	20	18	17	20	20	20	20	96.36%	71	75	49	65	79.55	0.05	2.6
2455	9	15	20	18	19	18	16	18	20	92.73%	56	60	60	76	79.49	0.26	2.6
8834	10	15	20	18	20	20	20	18	20	97.58%	57	61	54	70	79.23	0.08	2.6
4565	7	15	16	17	18	18	17	17	20	87.88%	72	76	56	72	79.15	0.01	2.6
0064	8	15	20	16	17	17	17	15	15	84.85%	70	74	60	76	79.14	0.01	2.6
0442	9	15	20	16	19	19	19	17	20	93.33%	57	61	58	74	79.13	0.00	2.6
5090	9	15	20	20	19	18	19	14	20	93.33%	79	83	47	63	79.13	0.01	2.6
0626	5	14	18	20	17	18	19	18	20	90.30%	71	75	54	70	79.12	0.08	2.6
0069	9	12	20	19	18	19	16	14	20	89.09%	81	85	50	66	79.04	0.02	2.6
3709	8	14	18	18	15	15	14	15	20	83.03%	67	71	63	79	79.01	0.05	2.6
0092	5	14	18	20	18	19	19	17	20	90.91%	63	67	57	73	78.96	0.27	2.6
2849	7	15	19	19	18	19	18	18	20	92.73%	72	76	50	66	78.69	0.12	2.5
0284	10	15	20	18	20	19	 	 	20	73.94%	87	91	61	77	78.58	0.05	2.5
3498	9	15	20	19	19	19	15	13	20	90.30%	44	48	66	82	78.52	0.48	2.5
8655	9	12	20	19	17	19	0	17	20	80.61%	75	79	59	75	78.04	0.02	2.5
8261	9	15	20	20	19	20	17	16	20	94.55%	63	67	51	67	78.02	0.08	2.5
7660	9	14	18	18	16	12	15	18	20	84.85%	78	82	53	69	77.94	0.04	2.5
8151	10	14	19	18	14	17	17	10	20	84.24%	61	65	62	78	77.90	0.03	2.5
4013	10	15	20	12	16	16	16	18	20	86.67%	74	78	53	69	77.87	0.00	2.5
7186	10	15	18	19	16	16	14	15	20	86.67%	68	72	56	72	77.87	0.76	2.5
5530	10	15	18	20	20	0	18	18	18	83.03%	85	89	51	67	77.81	0.09	2.5
8516	9	15	20	18	16	14	19	18	20	90.30%	74	78	49	65	77.72	0.01	2.5
0207	9	14	20	19	0	18	17	13	20	78.79%	67	71	64	80	77.72	0.08	2.5
2801	10	15	19	20	13	15	19	18	18	89.09%	68	72	53	69	77.64	0.20	2.5
0426	8	14	20	20	16	17	18	14	20	89.09%	71	75	51	67	77.44	0.11	2.4
1078	10	15	20	19	19	10	4	18	20	81.82%	83	87	52	68	77.33	0.15	2.4
0072	10	13	20	18	17	16	15	12	20	85.45%	75	79	52	68	77.18	0.19	2.4
9250	9	14	18	19	20	13	18	15	20	88.48%	62	66	55	71	76.99	0.28	2.4
2401	8	13	17	15	17	13	17	10	20	78.79%	66	70	62	78	76.72	0.14	2.4
0849	9	15	18	19	20	19	20	20	15	93.94%	63	67	48	64	76.58	0.23	2.4
1423	10	15	20	20	20	18	19	17	20	96.36%	65	69	44	60	76.35	0.14	2.3
5645	7	15	20	19	18	18	17	17	20	91.52%	66	70	48	64	76.21	0.27	2.3
1868	9	15	20	19	20	17	18	16	20	93.33%	77	81	40	56	75.93	0.07	2.3
8014	9	14	20	19	19	20	18	18	20	95.15%	81	85	36	52	75.86	0.10	2.3
1417	10	14	18	19	16	18	0	16	20	79.39%	68	72	58	74	75.76	0.07	2.3
4064	10	15	20	19	17	18	18	16	20	92.73%	65	69	46	62	75.69	0.14	2.3
3954	6	15	20	18	19	16	17	14	20	87.88%	68	72	49	65	75.55	0.32	2.3
5963	8	15	15	18	18	19	19	15	20	89.09%	62	66	50	66	75.24	0.02	2.2
0647	6	14	17	18	15	17	17	15	18	83.03%	78	82	48	64	75.21	0.05	2.2
1538	0	13	20	18	16	12	15	19	18	79.39%	61	65	60	76	75.16	0.07	2.2
2721	9	14	19	20	19	17	6	15	15	81.21%	87	91	45	61	75.08	0.05	2.2
1255	9	15	19	17	19	0	0	15	20	69.09%	79	83	61	77	75.04	0.14	2.2
6052	9	13	16	15	20	16	14	16	20	84.24%	72	76	49	65	74.90	0.34	2.2
8276	9	15	20	17	17	19	0	14	20	79.39%	76	80	51	67	74.56	0.48	2.2
1730	10	13	19	18	16	16	0	17	20	78.18%	74	78	52	68	74.07	0.02	2.1
6362	9	15	20	20	20	20	0	14	20	83.64%	67	71	50	66	74.05	0.16	2.1
0651	9	15	19	20	19	18	14	19	20	92.73%	64	68	42	58	73.89	0.04	2.1
6129	6	15	20	19	18	18	19	17	20	92.12%	65	69	42	58	73.85	0.13	2.1
3595	9	15	19	18	19	19	13	17	20	90.30%	54	58	49	65	73.72	0.02	2.1
9774	9	14	20	17	14	0	15	16	20	75.76%	67	71	57	73	73.70	0.13	2.1
6663	9	15	20	19	19	18	0	16	20	82.42%	69	73	49	65	73.57	0.30	2.1
8682	6	13	20	18	16	16	17	17	20	86.67%	51	55	53	69	73.27	0.07	2
7126	8	9	17	13	14	18	17	16	20	80.00%	72	76	49	65	73.20	0.08	2
4803	8	14	18	18	14	0	20	18	20	78.79%	72	76	50	66	73.12	0.05	2
0401	10	14	18	19	19	16	12	15	20	86.67%	70	74	43	59	73.07	0.09	2
7063	9	14	20	19	20	20	18	15	20	93.94%	71	75	35	51	72.98	0.16	2
2131	5	15	17	19	18	17	11	15	20	83.03%	66	70	48	64	72.81	0.29	2
6385	7	15	15	10	14	13	9	13	20	70.30%	68	72	59	75	72.52	0.04	2
8479	7	14	18	19	16	19	18	17	20	89.70%	59	63	44	60	72.48	0.03	2
0028	8	14	20	18	19	20	18	15	20	92.12%	64	68	39	55	72.45	0.05	2
1209	8	15	18	19	20	18	0	0	15	68.48%	77	81	56	72	72.39	0.24	2
0375	8	15	20	19	17	13	16	17	20	87.88%	65	69	42	58	72.15	0.32	1.9
9713	9	14	19	19	18	19	15	14	20	89.09%	61	65	42	58	71.84	0.07	1.9
0739	8	13	16	20	16	 	9	15	20	70.91%	65	69	58	74	71.76	0.12	1.9
0443	9	14	19	12	18	20	13	8	20	80.61%	55	59	53	69	71.64	0.27	1.9
4259	10	14	18	17	20	20	20	16	20	93.94%	61	65	36	52	71.38	0.36	1.9
6239	7	12	17	18	9	15	12	13	20	74.55%	70	74	50	66	71.02	0.12	1.8
0161	8	12	14	17	16	15	15	8	20	75.76%	73	77	47	63	70.90	0.13	1.8
7851	10	15	17	19	18	0	18	19	20	82.42%	65	69	44	60	70.77	0.21	1.8
8646	10	15	20	19	14	18	17	17	20	90.91%	55	59	40	56	70.56	0.06	1.8
2346	7	15	20	18	16	8	18	3	20	75.76%	75	79	45	61	70.50	0.05	1.8
8161	8	15	19	15	18	15	 	 	15	63.64%	67	71	61	77	70.45	0.09	1.8
1593	7	14	20	19	18	17	18	17	20	90.91%	56	60	39	55	70.36	0.18	1.8
2551	9	15	20	19	10	18	14	3	0	65.45%	82	86	51	67	70.18	0.08	1.7
4176	7	13	19	18	16	19	15	12	20	84.24%	62	66	42	58	70.10	0.35	1.7
0365	10	14	20	18	20	6	0	18	20	76.36%	60	64	50	66	69.75	0.16	1.7
9964	9	14	20	18	19	18	20	3	20	85.45%	57	61	42	58	69.58	0.01	1.7
8107	10	15	20	19	19	9	10	 	20	73.94%	74	78	45	61	69.58	0.16	1.7
6794	9	13	19	14	14	16	17	15	20	83.03%	69	73	38	54	69.41	0.03	1.7
6990	10	13	19	19	17	15	13	15	20	85.45%	58	62	41	57	69.38	0.01	1.7
3532	9	15	18	19	17	0	14	10	20	73.94%	69	73	47	63	69.38	0.08	1.7
9556	9	14	20	20	20	19	15	16	20	92.73%	61	65	32	48	69.29	0.16	1.7
1293	8	15	20	18	18	16	7	13	20	81.82%	66	70	40	56	69.13	0.38	1.6
2976	9	13	19	14	17	19	17	17	20	87.88%	62	66	35	51	68.75	0.01	1.6
7476	9	15	17	18	20	17	14	18	12	84.85%	52	56	43	59	68.74	0.10	1.6
1756	8	15	17	19	18	18	19	15	18	89.09%	57	61	36	52	68.64	0.15	1.6
8187	9	14	18	19	18	18	20	17	20	92.73%	53	57	34	50	68.49	0.06	1.6
8266	8	14	19	19	17	17	0	14	20	77.58%	57	61	47	63	68.43	0.07	1.6
3638	7	15	20	20	16	0	16	17	20	79.39%	71	75	38	54	68.36	0.24	1.6
8102	8	11	20	19	18	16	20	17	20	90.30%	46	50	39	55	68.12	0.13	1.6
8851	8	15	18	18	19	0	0	15	20	68.48%	65	69	51	67	67.99	0.22	1.5
1364	8	15	19	17	12	 	 	17	15	62.42%	80	84	49	65	67.77	0.05	1.5
0082	9	15	20	16	17	0	5	0	15	58.79%	83	87	51	67	67.72	0.20	1.5
6154	8	14	18	15	15	14	9	17	20	78.79%	62	66	41	57	67.52	0.02	1.5
6611	8	14	18	18	17	0	12	13	20	72.73%	62	66	47	63	67.49	0.31	1.5
8662	10	13	19	18	17	11	17	16	20	85.45%	49	53	40	56	67.18	0.07	1.5
9665	7	12	19	18	15	8	 	0	18	58.79%	84	88	49	65	67.12	0.15	1.5
2695	9	14	19	18	19	0	0	18	20	70.91%	75	79	41	57	66.96	0.04	1.4
2483	8	11	8	19	14	16	7	15	18	70.30%	60	64	49	65	66.92	0.64	1.4
